Nama Sekolah,Wilayah Jakarta
SMA Pelita Anugerah,Jakarta Barat
SMA Pelita IV,Jakarta Barat
SMA Pelita Kasih,Jakarta Barat
SMA Petra,Jakarta Barat
SMA Providentia,Jakarta Barat
SMA Regina Pacis,Jakarta Barat
SMA Saint Johns School,Jakarta Barat
SMA San Marino,Jakarta Barat
SMA Santo Kristoforus 1,Jakarta Barat
SMA Santo Kristoforus 2,Jakarta Barat
SMA Santo Leo,Jakarta Barat
SMA Santo Leo II,Jakarta Barat
SMA Sentosa,Jakarta Barat
SMA Sinar Dharma,Jakarta Barat
SMA Sumpah Pemuda,Jakarta Barat
SMA Tarsisius II,Jakarta Barat
SMA Tri Ratna,Jakarta Barat
SMA Tunas Harapan,Jakarta Barat
SMA Tunas Indonesia,Jakarta Barat
SMA Vianney,Jakarta Barat
SMA Wardaya,Jakarta Barat
SMA Yadika 2,Jakarta Barat
SMA Yadika 5,Jakarta Barat
SMA YP BDN,Jakarta Barat
SMA 17 Agustus 45 Jakarta,Jakarta Selatan
SMA 2 Perguruan Cikini,Jakarta Selatan
SMA 28 Oktober 1928,Jakarta Selatan
SMA Al Azhar Syifa Budi,Jakarta Selatan
SMA Al Kautsar,Jakarta Selatan
SMA Al Wildan 4 Islamic School Jakarta,Jakarta Selatan
SMA Asisi Jakarta,Jakarta Selatan
SMA Avicenna Jagakarsa,Jakarta Selatan
SMA Bakti Idhata Jakarta,Jakarta Selatan
SMA Bakti Mulya 400,Jakarta Selatan
SMA Bunda Kandung Jakarta,Jakarta Selatan
SMA Cenderawasih 1,Jakarta Selatan
SMA Charitas,Jakarta Selatan
SMA Cikal,Jakarta Selatan
SMA Citra Kasih Don Bosco Pondok Indah,Jakarta Selatan
SMA Darul Maarif Jakarta,Jakarta Selatan
SMA Darunnajah,Jakarta Selatan
SMA Dewi Sartika,Jakarta Selatan
SMA Dharma Karya Jakarta,Jakarta Selatan
SMA Eunoia Intercultural School,Jakarta Selatan
SMA Fatahillah Jakarta,Jakarta Selatan
SMA Garuda Cendekia,Jakarta Selatan
SMA Gita Kirtti 3 Jakarta,Jakarta Selatan
SMA Gonzaga Jakarta,Jakarta Selatan
SMA Hang Tuah 1 Jakarta,Jakarta Selatan
SMA International Islamic High School (IIHS),Jakarta Selatan
SMA Islam Al Azhar 1 Jakarta,Jakarta Selatan
SMA Islam Al Azhar 2 Jakarta,Jakarta Selatan
SMA Islam Al Azhar 3 Jakarta,Jakarta Selatan
SMA Islam Al Izhar Pondok Labu,Jakarta Selatan
SMA Islam Al Kholidin Jakarta,Jakarta Selatan
SMA Islam Annajah,Jakarta Selatan
SMA Islam As Syafiiyah 01,Jakarta Selatan
SMA Islam Harapan Ibu,Jakarta Selatan
SMA Jagakarsa,Jakarta Selatan
SMA Jakarta Montessori,Jakarta Selatan
SMA Kartika VIII-1 Jakarta,Jakarta Selatan
SMA Kartika X-1,Jakarta Selatan
SMA Keluarga Widuri Jakarta,Jakarta Selatan
SMA Kemala Bhayangkari 1,Jakarta Selatan
SMA Kharismawita Jakarta,Jakarta Selatan
SMA Labschool Bintaro,Jakarta Selatan
SMA Labschool Kebayoran,Jakarta Selatan
SMA Muhammadiyah 3 Jakarta,Jakarta Selatan
SMA Muhammadiyah 5 Jakarta,Jakarta Selatan
SMA Muhammadiyah 18 Jakarta,Jakarta Selatan
SMA Muttaqien Jakarta,Jakarta Selatan
SMA Pangudi Luhur Jakarta,Jakarta Selatan
SMA Pattimura Jakarta,Jakarta Selatan
SMA Perguruan Cikini Jakarta,Jakarta Selatan
SMA Perguruan Rakyat 1 Jakarta,Jakarta Selatan
SMA Perkumpulan Mandiri,Jakarta Selatan
SMA PGRI 3 Jakarta,Jakarta Selatan
SMA Plus Khadijah Islamic School,Jakarta Selatan
SMA PSKD 4 Jakarta,Jakarta Selatan
SMA Purnama Jakarta,Jakarta Selatan
SMA Suluh Jakarta,Jakarta Selatan
SMA Sumbangsih Jakarta,Jakarta Selatan
SMA Tarakanita 1 Jakarta,Jakarta Selatan
SMA Tirtamarta BPK Penabur,Jakarta Selatan
SMA Triguna Jakarta,Jakarta Selatan
SMA Yasporbi 1 Jakarta,Jakarta Selatan
SMA YMIK 2 Jakarta,Jakarta Selatan
SMA 1 Cawang Baru,Jakarta Timur
SMA Adi Luhur Jakarta,Jakarta Timur
SMA Al Falah,Jakarta Timur
SMA Al Ghurabaa Jakarta,Jakarta Timur
SMA Al Hikmah Jakarta,Jakarta Timur
SMA Al Wildan Islamic School 10 Jakarta,Jakarta Timur
SMA Angkasa 1 H Perdanakusuma,Jakarta Timur
SMA Angkasa 2 H Perdanakusuma,Jakarta Timur
SMA Bina Dharma Jakarta,Jakarta Timur
SMA Bina Pangudi Luhur Jakarta,Jakarta Timur
SMA BPS&K I,Jakarta Timur
SMA Budaya Jakarta,Jakarta Timur
SMA Budhaya 2 St Agustinus,Jakarta Timur
SMA Budhi Warman 1,Jakarta Timur
SMA Budhi Warman 2,Jakarta Timur
SMA Budi Mulia Utama Jakarta,Jakarta Timur
SMA Cahaya Sakti Jakarta,Jakarta Timur
SMA Chartar Buana,Jakarta Timur
SMA Cikal Amri,Jakarta Timur
SMA Corpatarin Jakarta,Jakarta Timur
SMA Dewi Sartika YBW Jakarta,Jakarta Timur
SMA Dian Persada Jakarta,Jakarta Timur
SMA Diponegoro 1 Jakarta,Jakarta Timur
SMA Diponegoro 2 Jakarta,Jakarta Timur
SMA Don Bosco II,Jakarta Timur
SMA Embun Pagi Islamic School,Jakarta Timur
SMA EMIISc Jakarta,Jakarta Timur
SMA Fons Vitae 1 Jakarta,Jakarta Timur
SMA Fransiskus 2 Jakarta,Jakarta Timur
SMA Global Islamic School,Jakarta Timur
SMA Global Mandiri,Jakarta Timur
SMA Highfield,Jakarta Timur
SMA IGN Slamet Riyadi,Jakarta Timur
SMA Islam Al Azhar 19,Jakarta Timur
SMA Islam Al Maruf,Jakarta Timur
SMA Islam PB Soedirman,Jakarta Timur
SMA IT Al Halimiyah Jakarta,Jakarta Timur
SMA IT Buahati Islamic School,Jakarta Timur
SMA Jakarta Islamic School,Jakarta Timur
SMA Kapin,Jakarta Timur
SMA Katolik Nusa Melati,Jakarta Timur
SMA Kristen 7 Penabur,Jakarta Timur
SMA Kristen Berkat Jakarta,Jakarta Timur
SMA Kristen Tunas Bangsa,Jakarta Timur
SMA Labschool Ciracas,Jakarta Timur
SMA Labschool Jakarta,Jakarta Timur
SMA Malahayati,Jakarta Timur
Sma Mardani Leadership School,Jakarta Timur
SMA Minhaajurrosyidiin,Jakarta Timur
SMA Muhammadiyah 11 Jakarta,Jakarta Timur
SMA Muhammadiyah 12 Jakarta,Jakarta Timur
SMA Muhammadiyah 23 Jakarta,Jakarta Timur
SMA Muhammadiyah 4 Jakarta,Jakarta Timur
SMA Nabawi Islamic School,Jakarta Timur
SMA Nahdlatul Wathan,Jakarta Timur
SMA Nizamia Andalusia,Jakarta Timur
SMA Nurul Huda Jakarta,Jakarta Timur
SMA Pangudi Rahayu,Jakarta Timur
SMA Pelita Tiga No 3 Jakarta,Jakarta Timur
SMA Pembangunan III YPI,Jakarta Timur
SMA Perguruan Advent XV,Jakarta Timur
SMA Perguruan Rakyat 2 Jakarta,Jakarta Timur
SMA Perguruan Rakyat 3 Jakarta,Jakarta Timur
SMA PGRI 1 Jakarta,Jakarta Timur
SMA PGRI 24 Jakarta,Jakarta Timur
SMA PGRI 4 Jakarta,Jakarta Timur
SMA PKP,Jakarta Timur
SMA Pratama,Jakarta Timur
SMA Prestasi Prima,Jakarta Timur
SMA PSKD II Jakarta,Jakarta Timur
SMA Pusaka 1 Jakarta,Jakarta Timur
SMA Putra 1,Jakarta Timur
SMA Santika,Jakarta Timur
SMA Santo Yoseph Jakarta,Jakarta Timur
SMA Sapta Kharisma Jakarta,Jakarta Timur
SMA ST Alexius Jakarta,Jakarta Timur
SMA ST Antonius Jakarta,Jakarta Timur
SMA Taruna Persada,Jakarta Timur
SMA Teladan 1 Jakarta,Jakarta Timur
SMA Trampil 2 Jakarta,Jakarta Timur
SMA Trisoko Jakarta,Jakarta Timur
SMA Tunas Markatin Jakarta,Jakarta Timur
SMA Uswatun Hasanah Jakarta,Jakarta Timur
SMA Villa Mas Jakarta,Jakarta Timur
SMA Widya Manggala Jakarta,Jakarta Timur
SMA Wijaya Kusuma,Jakarta Timur
SMA Yake Jakarta,Jakarta Timur
SMA YP IPPI Jakarta,Jakarta Timur
SMK Negeri 1,Jakarta Pusat
SMK Negeri 2,Jakarta Pusat
SMK Negeri 3,Jakarta Pusat
SMK Negeri 4,Jakarta Utara
SMK Negeri 5,Jakarta Timur
SMK Negeri 6,Jakarta Selatan
SMK Negeri 7,Jakarta Timur
SMK Negeri 8,Jakarta Selatan
SMK Negeri 9,Jakarta Barat
SMK Negeri 10,Jakarta Timur
SMK Negeri 11,Jakarta Barat
SMK Negeri 12,Jakarta Utara
SMK Negeri 13,Jakarta Barat
SMK Negeri 14,Jakarta Pusat
SMK Negeri 15,Jakarta Selatan
SMK Negeri 16,Jakarta Pusat
SMK Negeri 17,Jakarta Barat
SMK Negeri 18,Jakarta Selatan
SMK Negeri 19,Jakarta Pusat
SMK Negeri 20,Jakarta Selatan
SMK Negeri 21,Jakarta Pusat
SMK Negeri 22,Jakarta Timur
SMK Negeri 23,Jakarta Utara
SMK Negeri 24,Jakarta Timur
SMK Negeri 25,Jakarta Selatan
SMK Negeri 26,Jakarta Timur
SMK Negeri 27,Jakarta Pusat
SMK Negeri 28,Jakarta Selatan
SMK Negeri 29,Jakarta Selatan
SMK Negeri 30,Jakarta Selatan
SMK Negeri 31,Jakarta Pusat
SMK Negeri 32,Jakarta Selatan
SMK Negeri 33,Jakarta Utara
SMK Negeri 34,Jakarta Pusat
SMK Negeri 35,Jakarta Barat
SMK Negeri 36,Jakarta Utara
SMK Negeri 37,Jakarta Selatan
SMK Negeri 38,Jakarta Pusat
SMK Negeri 39,Jakarta Pusat
SMK Negeri 40,Jakarta Timur
SMK Negeri 41,Jakarta Selatan
SMK Negeri 42,Jakarta Barat
SMK Negeri 43,Jakarta Selatan
SMK Negeri 44,Jakarta Pusat
SMK Negeri 45,Jakarta Barat
SMK Negeri 46,Jakarta Timur
SMK Negeri 47,Jakarta Selatan
SMK Negeri 48,Jakarta Timur
SMK Negeri 49,Jakarta Utara
SMK Negeri 50,Jakarta Timur
SMK Negeri 51,Jakarta Timur
SMK Negeri 52,Jakarta Timur
SMK Negeri 53,Jakarta Barat
SMK Negeri 54,Jakarta Pusat
SMK Negeri 55,Jakarta Utara
SMK Negeri 56,Jakarta Utara
SMK Negeri 57,Jakarta Selatan
SMK Negeri 58,Jakarta Timur
SMK Negeri 59,Jakarta Selatan
SMK Negeri 60,Jakarta Barat
SMK Negeri 61,Kepulauan Seribu
SMK Negeri 62,Jakarta Selatan
SMK Negeri 63,Jakarta Selatan
SMK Negeri 64,Jakarta Timur
SMK Negeri 65,Jakarta Timur
SMK Negeri 66,Jakarta Timur
SMK Negeri 67,Jakarta Timur
SMK Negeri 68,Jakarta Timur
SMK Negeri 69,Jakarta Timur
SMK Negeri 70,Jakarta Timur
SMK Negeri 71,Jakarta Timur
SMK Negeri 72,Jakarta Barat
SMK Negeri 73,Jakarta Barat
SMK Negeri 74,Jakarta Selatan
SMK Al Ihsan,Jakarta Pusat
SMK Al Irsyad,Jakarta Pusat
SMK Al Ma'mur,Jakarta Pusat
SMK At Taqwa,Jakarta Pusat
SMK Bunda Mulia 1,Jakarta Pusat
SMK Cempaka,Jakarta Pusat
SMK Dental Asisten Sekesal Jakarta,Jakarta Pusat
SMK Farmasi BPK Penabur,Jakarta Pusat
SMK Farmasi Ditkesad,Jakarta Pusat
SMK Farmasi Tunas Bangsa,Jakarta Pusat
SMK Franciskus 2,Jakarta Pusat
SMK Global Multimedia,Jakarta Pusat
SMK Jakarta Dua,Jakarta Pusat
SMK Jakarta Pusat 1,Jakarta Pusat
SMK Jayawisata 1,Jakarta Pusat
SMK Kampung Jawa Jakarta,Jakarta Pusat
SMK Kartini,Jakarta Pusat
SMK Katolik Saint Joseph,Jakarta Pusat
SMK Kristen Bethel,Jakarta Pusat
SMK Kristen Kanaan,Jakarta Pusat
SMK Ksatrya,Jakarta Pusat
SMK Muhammadiyah 1 Jakarta,Jakarta Pusat
SMK Muhammadiyah 2 Jakarta,Jakarta Pusat
SMK Muhammadiyah 5 Jakarta,Jakarta Pusat
SMK Muhammadiyah 10 Jakarta,Jakarta Pusat
SMK Muhammadiyah 11 Jakarta,Jakarta Pusat
SMK PGRI 31 Jakarta,Jakarta Pusat
SMK PGRI 4 Jakarta,Jakarta Pusat
SMK Poncol,Jakarta Pusat
SMK PSKD 1 Jakarta,Jakarta Pusat
SMK Rex Mundi,Jakarta Pusat
SMK Said Naum,Jakarta Pusat
SMK Santa Maria,Jakarta Pusat
SMK Santa Theresia,Jakarta Pusat
SMK Santo Paulus,Jakarta Pusat
SMK Strada 1 Jakarta,Jakarta Pusat
SMK Strada Jakarta,Jakarta Pusat
