name,wilayah,category,KELURAHAN_REF,KECAMATAN_REF,KODEPOS_REF,STATUS
SMK Negeri 71,Jakarta Timur,sma_smk,Cempaka Putih Timur,,10540.0,OSM_Success
SMK Negeri 72,Jakarta Barat,sma_smk,Pluit,,14440,OSM_Success_Recovered
SMK Negeri 73,Jakarta Barat,sma_smk,Palmerah,,11540.0,OSM_Success
SMK Negeri 74,Jakarta Selatan,sma_smk,Jati Padang,,12510.0,OSM_Success
SMK Al Ihsan,Jakarta Pusat,sma_smk,Kebon Kacang,,10240.0,OSM_Success
SMK Al Irsyad,Jakarta Pusat,sma_smk,Lagoa,,14270,OSM_Success_Recovered
SMK Al Ma'mur,Jakarta Pusat,sma_smk,,,,Not_Found
SMK At Taqwa,Jakarta Pusat,sma_smk,Gunung Sahari Utara,,10720.0,OSM_Success
SMK Bunda Mulia 1,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Cempaka,Jakarta Pusat,sma_smk,Cempaka Putih Barat,,10520.0,OSM_Success
SMK Dental Asisten Sekesal Jakarta,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Farmasi BPK Penabur,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Farmasi Ditkesad,Jakarta Pusat,sma_smk,Senen,,10410.0,OSM_Success
SMK Farmasi Tunas Bangsa,Jakarta Pusat,sma_smk,Senen,,10440.0,OSM_Success
SMK Franciskus 2,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Global Multimedia,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Jakarta Dua,Jakarta Pusat,sma_smk,Kelapa Dua Wetan,,13850,OSM_Success_Recovered
SMK Jakarta Pusat 1,Jakarta Pusat,sma_smk,Pasar Baru,,10460,OSM_Success_Recovered
SMK Jayawisata 1,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Kampung Jawa Jakarta,Jakarta Pusat,sma_smk,Johar Baru,,10560.0,OSM_Success
SMK Kartini,Jakarta Pusat,sma_smk,Kartini,,10720.0,OSM_Success
SMK Katolik Saint Joseph,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Kristen Bethel,Jakarta Pusat,sma_smk,Petamburan,,10260.0,OSM_Success
SMK Kristen Kanaan,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Ksatrya,Jakarta Pusat,sma_smk,Cempaka Putih Barat,,10520.0,OSM_Success
SMK Muhammadiyah 1 Jakarta,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Muhammadiyah 2 Jakarta,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Muhammadiyah 5 Jakarta,Jakarta Pusat,sma_smk,Bendungan Hilir,,10210.0,OSM_Success
SMK Muhammadiyah 10 Jakarta,Jakarta Pusat,sma_smk,Paseban,,10440.0,OSM_Success
SMK Muhammadiyah 11 Jakarta,Jakarta Pusat,sma_smk,,,,Not_Found
SMK PGRI 31 Jakarta,Jakarta Pusat,sma_smk,Cideng,,10150.0,OSM_Success
SMK PGRI 4 Jakarta,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Poncol,Jakarta Pusat,sma_smk,Sumur Batu,,10640.0,OSM_Success
SMK PSKD 1 Jakarta,Jakarta Pusat,sma_smk,Senen,,10410.0,OSM_Success
SMK Rex Mundi,Jakarta Pusat,sma_smk,Petojo Utara,,10130.0,OSM_Success
SMK Said Naum,Jakarta Pusat,sma_smk,Kebon Kacang,,10240.0,OSM_Success
SMK Santa Maria,Jakarta Pusat,sma_smk,Kebon Kelapa,,10120.0,OSM_Success
SMK Santa Theresia,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Santo Paulus,Jakarta Pusat,sma_smk,,,,Not_Found
